Start Date,Aantal Ritten
2020-01-01,10955
2020-01-02,18501
2020-01-03,18245
2020-01-04,15506
2020-01-05,12824
2020-01-06,23537
2020-01-07,27233
2020-01-08,28046
2020-01-09,26387
2020-01-10,26591
2020-01-11,18023
2020-01-12,16313
2020-01-13,23637
2020-01-14,22809
2020-01-15,22276
2020-01-16,26082
2020-01-17,25565
2020-01-18,19579
2020-01-19,17715
2020-01-20,28009
2020-01-21,28491
2020-01-22,27501
2020-01-23,28179
2020-01-24,26165
2020-01-25,18001
2020-01-26,12725
2020-01-27,23289
2020-01-28,27903
2020-01-29,28724
2020-01-30,27710
2020-01-31,26162
2020-02-01,20062
2020-02-02,16013
2020-02-03,28025
2020-02-04,29115
2020-02-05,29444
2020-02-06,29234
2020-02-07,27981
2020-02-08,21546
2020-02-09,6412
2020-02-10,21687
2020-02-11,26701
2020-02-12,27653
2020-02-13,25223
2020-02-14,26277
2020-02-15,9734
2020-02-16,6427
2020-02-17,25484
2020-02-18,24966
2020-02-19,24066
2020-02-20,22482
2020-02-21,24654
2020-02-22,18448
2020-02-23,13925
2020-02-24,23309
2020-02-25,26794
2020-02-26,27841
2020-02-27,20180
2020-02-28,18539
2020-02-29,12424
2020-03-01,16660
